URL,Repo,pom-check,PR,merged
https://github.com/alibaba/atlas,alibaba/atlas,none,53,31
https://github.com/pxb1988/dex2jar,pxb1988/dex2jar,none,7,4
https://github.com/ChrisRM/material-theme-jetbrains,ChrisRM/material-theme-jetbrains,none,98,68
https://github.com/Netflix/SimianArmy,Netflix/SimianArmy,none,218,191
https://github.com/facebook/buck,facebook/buck,none,1050,39
https://github.com/android/testing-samples,android/testing-samples,none,136,100
https://github.com/ybq/Android-SpinKit,ybq/Android-SpinKit,none,12,12
https://github.com/hs-web/hsweb-framework,hs-web/hsweb-framework,include-Pom,55,40
https://github.com/heibaiying/BigData-Notes,heibaiying/BigData-Notes,none,6,1
https://github.com/pedant/sweet-alert-dialog,pedant/sweet-alert-dialog,none,5,2
https://github.com/firebase/quickstart-android,firebase/quickstart-android,none,401,347
https://github.com/crazycodeboy/TakePhoto,crazycodeboy/TakePhoto,none,9,8
https://github.com/TooTallNate/Java-WebSocket,TooTallNate/Java-WebSocket,include-Pom,306,242
https://github.com/hyb1996/Auto.js,hyb1996/Auto.js,none,41,37
https://github.com/shwenzhang/AndResGuard,shwenzhang/AndResGuard,none,42,33
https://github.com/facebook/litho,facebook/litho,none,326,49
https://github.com/leolin310148/ShortcutBadger,leolin310148/ShortcutBadger,none,61,47
https://github.com/lecho/hellocharts-android,lecho/hellocharts-android,none,34,22
https://github.com/shwenzhang/AndResGuard,shwenzhang/AndResGuard,none,42,33
https://github.com/facebook/litho,facebook/litho,none,326,49
https://github.com/Activiti/Activiti,Activiti/Activiti,none,1629,1193
https://github.com/koush/AndroidAsync,koush/AndroidAsync,none,122,91
https://github.com/DuGuQiuBai/Java,DuGuQiuBai/Java,none,1,0
https://github.com/huanghaibin-dev/CalendarView,huanghaibin-dev/CalendarView,none,13,8
https://github.com/airbnb/epoxy,airbnb/epoxy,none,376,354
https://github.com/alibaba/DataX,alibaba/DataX,include-Pom,48,22
https://github.com/google/android-classyshark,google/android-classyshark,none,97,95
https://github.com/swagger-api/swagger-core,swagger-api/swagger-core,include-Pom,1227,918
https://github.com/react-native-community/react-native-image-picker,react-native-community/react-native-image-picker,none,245,159
https://github.com/Qihoo360/RePlugin,Qihoo360/RePlugin,none,169,142
https://github.com/zendesk/android-floating-action-button,zendesk/android-floating-action-button,none,61,25
https://github.com/koush/ion,koush/ion,none,64,52
