140,140,improvement,11,c4efb5396fc40bfd9cb8dc1d6daceb734b8f5001,e69b7cecd85438ee65b1859b3200b6a54ab355c7,None,None,https://github.com/xetorthio/jedis/compare/c4efb5396fc40bfd9cb8dc1d6daceb734b8f5001…e69b7cecd85438ee65b1859b3200b6a54ab355c7.diff
145,145,merge,3,None,5c9d5165989693497b4749f09fb8d3ed06fd04e2,None,None,https://github.com/xetorthio/jedis/compare/None…5c9d5165989693497b4749f09fb8d3ed06fd04e2.diff
146,146,merge,6,None,202d68a21c9179b77ec0208acdffbc9a888fe666,None,None,https://github.com/xetorthio/jedis/compare/None…202d68a21c9179b77ec0208acdffbc9a888fe666.diff
153,153,merge,1,None,3b55731b7bf4c46c7a88baf653355ed7f1f83641,None,None,https://github.com/xetorthio/jedis/compare/None…3b55731b7bf4c46c7a88baf653355ed7f1f83641.diff
154,154,merge,2,None,8ddba03add9319d1300eea3233e372040bc184c6,None,None,https://github.com/xetorthio/jedis/compare/None…8ddba03add9319d1300eea3233e372040bc184c6.diff
157,157,close,1,None,cd1469665e85edee8169dfc33be9aa5347780756,None,None,https://github.com/xetorthio/jedis/compare/None…cd1469665e85edee8169dfc33be9aa5347780756.diff
160,160,close,4,None,88e662ee28f577af7ba7bccad0a0acf8f35c5448,None,None,https://github.com/xetorthio/jedis/compare/None…88e662ee28f577af7ba7bccad0a0acf8f35c5448.diff
163,163,merge,1,None,6e4e1c39f4d0b732d48fea86daaddaf6468de511,None,None,https://github.com/xetorthio/jedis/compare/None…6e4e1c39f4d0b732d48fea86daaddaf6468de511.diff
165,165,close,7,None,b798acc9fdd4987502fb395d40420c46c6cbf818,None,None,https://github.com/xetorthio/jedis/compare/None…b798acc9fdd4987502fb395d40420c46c6cbf818.diff
167,167,merge,1,None,234336b58bfb60fa4ea5ea088f74100dca05c10c,None,None,https://github.com/xetorthio/jedis/compare/None…234336b58bfb60fa4ea5ea088f74100dca05c10c.diff
168,168,merge,1,None,e9644a45291302d797ce769d51082fb52726a19a,None,None,https://github.com/xetorthio/jedis/compare/None…e9644a45291302d797ce769d51082fb52726a19a.diff
170,170,merge,1,None,97bbfdc2d6a9bc3e9ce7b4dd17bbb6733e53e4cf,None,None,https://github.com/xetorthio/jedis/compare/None…97bbfdc2d6a9bc3e9ce7b4dd17bbb6733e53e4cf.diff
172,172,merge,1,None,bbb6d666ac556bf229213b296aa80c5cb7615c8a,None,None,https://github.com/xetorthio/jedis/compare/None…bbb6d666ac556bf229213b296aa80c5cb7615c8a.diff
173,173,merge,1,None,3abaf71e0a4255294985c1a358d4dd7a3b387262,None,None,https://github.com/xetorthio/jedis/compare/None…3abaf71e0a4255294985c1a358d4dd7a3b387262.diff
174,174,improvement,10,2d87bd4bbc02c2a30f8bde393661ca171859dae7,ca974817287b8273d5d90db813fe169370b5f768,None,None,https://github.com/xetorthio/jedis/compare/2d87bd4bbc02c2a30f8bde393661ca171859dae7…ca974817287b8273d5d90db813fe169370b5f768.diff
187,187,improvement,22,3abaf71e0a4255294985c1a358d4dd7a3b387262,a9341909be1b7ff5958717758370b2922189140c,None,None,https://github.com/xetorthio/jedis/compare/3abaf71e0a4255294985c1a358d4dd7a3b387262…a9341909be1b7ff5958717758370b2922189140c.diff
189,189,merge,2,None,ec0b58e1836355d78d2649719c3cbc51579aaacc,None,None,https://github.com/xetorthio/jedis/compare/None…ec0b58e1836355d78d2649719c3cbc51579aaacc.diff
193,193,merge,1,None,0aab8cb63b85599db1ad76b3b9486fac9980df2d,None,None,https://github.com/xetorthio/jedis/compare/None…0aab8cb63b85599db1ad76b3b9486fac9980df2d.diff
196,196,close,1,None,a3fb94f7a1345d071aee5a6e8c29b84261611d15,None,None,https://github.com/xetorthio/jedis/compare/None…a3fb94f7a1345d071aee5a6e8c29b84261611d15.diff
197,197,merge,1,None,fb33b262e499a0d50364ead9f75255e841c02634,None,None,https://github.com/xetorthio/jedis/compare/None…fb33b262e499a0d50364ead9f75255e841c02634.diff
198,198,improvement,2,6ec4fc4f5dd2c1e3039cd86f76c546b10337eb63,ceee6fd40e8d010c9ab337fea174de671c4e5e7f,None,None,https://github.com/xetorthio/jedis/compare/6ec4fc4f5dd2c1e3039cd86f76c546b10337eb63…ceee6fd40e8d010c9ab337fea174de671c4e5e7f.diff
