9,close,NONE
11,close,NONE
12,merge,NONE
13,merge,NONE
14,merge,NONE
16,close,NONE
18,merge,NONE
19,close,NONE
24,merge,NONE
25,merge,NONE
27,merge,NONE
33,merge,NONE
37,improvement,08f843221528ab7fb92ef43469cfe2406c1eefb1
40,merge,NONE
45,improvement,3a9046729d50d27a87f38a88c31963039ed77335
46,close,NONE
62,merge,NONE
66,close,NONE
67,close,NONE
75,close,NONE
81,close,NONE
89,close,NONE
92,close,NONE
94,merge,NONE
95,merge,NONE
96,merge,NONE
99,close,NONE
102,merge,NONE
103,merge,NONE
110,merge,NONE
111,improvement,604615d22827f11a9feadb87993f4aee623842aa
112,merge,NONE
115,close,NONE
116,merge,NONE
121,merge,NONE
125,close,NONE
129,close,NONE
133,close,NONE
140,improvement,c4efb5396fc40bfd9cb8dc1d6daceb734b8f5001
145,merge,NONE
146,merge,NONE
153,merge,NONE
154,merge,NONE
157,close,NONE
160,close,NONE
163,merge,NONE
165,close,NONE
167,merge,NONE
168,merge,NONE
170,merge,NONE
172,merge,NONE
173,merge,NONE
174,improvement,2d87bd4bbc02c2a30f8bde393661ca171859dae7
187,improvement,3abaf71e0a4255294985c1a358d4dd7a3b387262
189,merge,NONE
193,merge,NONE
196,close,NONE
197,merge,NONE
198,improvement,6ec4fc4f5dd2c1e3039cd86f76c546b10337eb63
199,merge,NONE
209,close,NONE
211,merge,NONE
212,close,NONE
213,close,NONE
214,close,NONE
235,close,NONE
238,close,NONE
239,close,NONE
245,close,NONE
248,close,NONE
257,merge,NONE
264,close,NONE
268,merge,NONE
274,improvement,df75c72825b74a85ec381bbbaeac24708c8994c7
275,merge,NONE
276,merge,NONE
277,merge,NONE
278,merge,NONE
279,merge,NONE
282,merge,NONE
283,merge,NONE
284,merge,NONE
285,merge,NONE
288,merge,NONE
289,close,NONE
290,merge,NONE
292,close,NONE
296,close,NONE
309,close,NONE
318,close,NONE
319,improvement,073d640ad95743f4b151aeead9d49a85bbf27dbf
320,close,NONE
323,close,NONE
328,improvement,3b3fd6e7fc6fcca56951b0a6fe320eba8da2ffef
330,merge,NONE
331,improvement,16d59354dd0e9009db7c7f911a5df59ffd5190b7
336,close,NONE
341,merge,NONE
342,close,NONE
350,close,NONE
351,close,NONE
358,close,NONE
362,close,NONE
363,close,NONE
364,merge,NONE
365,merge,NONE
366,close,NONE
367,close,NONE
369,close,NONE
370,merge,NONE
374,close,NONE
376,close,NONE
378,close,NONE
381,merge,NONE
382,close,NONE
387,close,NONE
393,close,NONE
400,merge,NONE
402,improvement,2c79acb17b69207109524be6a6fe1071d11e7b0b
406,close,NONE
409,merge,NONE
411,improvement,45ead5de0c58977175af907a24ca7cdd8821970b
421,improvement,6813803b5f0473f6fcc7dc96081928b913287207
422,close,NONE
425,merge,NONE
429,close,NONE
442,merge,NONE
444,merge,NONE
446,merge,NONE
447,improvement,0e59fe0f4d0066eb47485d9f71c751e1aadd8ec1
452,close,NONE
453,close,NONE
460,improvement,994056b3065f5babfdc3e04dbace8e18b0eae435
461,close,NONE
462,merge,NONE
463,close,NONE
465,close,NONE
468,merge,NONE
478,close,NONE
482,close,NONE
486,close,NONE
487,merge,NONE
489,merge,NONE
491,close,NONE
498,merge,NONE
499,close,NONE
502,merge,NONE
509,merge,NONE
510,close,NONE
511,improvement,2267c3318ce6a157e98d43b7c53011868420c09b
512,improvement,dd62e360fa714c6c93722f362772a71179a0ddda
513,merge,NONE
515,merge,NONE
517,close,NONE
523,improvement,4b53160a742cc8e169168d6316a93f5542fe5536
524,merge,NONE
527,improvement,d846149ae16739b55cc891eba1f2455a4acc28c3
528,improvement,40c8a93340fd368fc33c6e4e40640f7b16210627
529,close,NONE
532,close,NONE
534,close,NONE
535,improvement,9edf96e4426062f37da607e3c1dc360e0c1f3397
536,merge,NONE
537,merge,NONE
540,merge,NONE
541,merge,NONE
542,merge,NONE
543,merge,NONE
549,merge,NONE
551,merge,NONE
554,improvement,756dc8deec98cd4cae6dfa512e9371cc5a9fe4a7
555,improvement,2013c9cbedefe94139c7eb4d3a8cdef2e9e9485f
557,close,NONE
558,improvement,db765227dffbc8ddd983dd8ad42b99e9096a3654
563,improvement,670e019a8958acfecf9a2f7932cdf1ef58bcb0ed
564,improvement,882d662470351d08d106006821c837d76b5ddaac
570,close,NONE
571,merge,NONE
574,improvement,0cd32a61037eaaef58b7f6a64b38b0f408b5505b
575,improvement,4dcee1eb00166f965ee21bc2ff6a7c4921c4c700
576,merge,NONE
577,merge,NONE
578,improvement,fe9535df45907b1d0e061f77c158b8ee3ecf0319
581,improvement,2a17be9c1d4ab59f40a79f914ec1715c39988580
587,merge,NONE
597,close,NONE
598,improvement,1fd5b575756fa2bb96c275fe379b9bf3e2f68adc
608,close,NONE
609,close,NONE
610,improvement,add2778952adc629561411a448f1c1868f8e93f7
611,close,NONE
612,merge,NONE
613,merge,NONE
614,merge,NONE
615,improvement,986acc8c9e334bc8d0b36215d4eb1c6ef015a77c
620,improvement,409740f06cd2375c9164f66c84b217546ef38aac
622,merge,NONE
626,merge,NONE
629,improvement,d14ee645ed77a9ed61b10b712fa7a87c09b95384
630,close,NONE
631,improvement,c63e901232a2c407cd5269c78b356ce5dc49503d
641,improvement,51de5f72abacbe544429fa24139ddfe8f57da71f
646,merge,NONE
651,merge,NONE
658,merge,NONE
666,merge,NONE
667,merge,NONE
668,merge,NONE
669,merge,NONE
671,merge,NONE
675,merge,NONE
680,improvement,a6c8cbcc9161d3f660329fbba77fba7d8b808b41
681,improvement,75d2ba751ba59c1cf5e13ddad84d4f0d3a82fb3e
685,merge,NONE
691,close,NONE
694,improvement,c62672e3a058bde24e37b0e49694505472ae904f
709,close,NONE
710,improvement,ae73a99a17628d6e12ade3550b9a15967342696f
715,merge,NONE
717,merge,NONE
718,merge,NONE
719,merge,NONE
722,improvement,b2193457613cb76bfc107d038140071c8674905c
727,merge,NONE
730,close,NONE
733,improvement,ad10f91b607f71b9a2bd53566ad3f25cbeb0cc9b
735,merge,NONE
736,improvement,687716902d4ca8e9bb5a306a8af3a4ab1ba0b4bf
737,merge,NONE
741,merge,NONE
743,merge,NONE
747,improvement,f065b80ab0e16b059d49308f6743b24ef3c9d0cc
748,merge,NONE
749,close,NONE
750,merge,NONE
752,improvement,c5336310bd4e0ea3879ef961c21fa69e098699f1
753,merge,NONE
754,merge,NONE
755,merge,NONE
756,merge,NONE
760,improvement,a3422bd898b31cea090e4a4fa01caafe3b978590
761,improvement,6ea1959cc5308389f5db6d430c3fc8aa122bd32f
762,merge,NONE
770,improvement,8f4dbaf89f66445ada0061b443bb37ac254ca915
774,merge,NONE
777,close,NONE
778,merge,NONE
780,improvement,d13581862852f4fb06762172b44982b8d6edfe02
782,improvement,b09a1e2634d86ddc6418aadff5a41e8658ee2749
783,improvement,4ecca016a5f45789ec9b733ddb046bafca4972d6
787,close,NONE
792,merge,NONE
795,close,NONE
797,merge,NONE
798,merge,NONE
800,close,NONE
804,close,NONE
810,close,NONE
813,close,NONE
814,close,NONE
815,merge,NONE
819,improvement,f89b87bd2ebae6eba7579418f7b9949f4e6e064f
822,improvement,4a482436119463a4d4dbe62bd6f2389a53d8ff89
826,merge,NONE
828,merge,NONE
832,close,NONE
833,merge,NONE
834,merge,NONE
835,improvement,754968ceb6f41acdefb697d87f487f4cc4b7b8ca
836,close,NONE
838,merge,NONE
839,merge,NONE
841,merge,NONE
842,improvement,3032c9410d9e8515a75ba6a516a3669324aec879
854,merge,NONE
859,merge,NONE
860,merge,NONE
865,improvement,c6417e2f9f1f8f1145672a9e6224390f3d0e6eb8
