      360 Closed,,      360 Closed,2
      10 Closed,,      10 Closed,2
29,804 Closed,29804 Closed,2
3,993 Closed,3993 Closed,2
      71 Closed,,      71 Closed,2
2,508 Closed,2508 Closed,2
      955 Closed,,      955 Closed,2
2,462 Closed,2462 Closed,2
      42 Closed,,      42 Closed,2
      345 Closed,,      345 Closed,2
      460 Closed,,      460 Closed,2
      413 Closed,,      413 Closed,2
      459 Closed,,      459 Closed,2
      266 Closed,,      266 Closed,2
5,028 Closed,5028 Closed,2
      748 Closed,,      748 Closed,2
      460 Closed,,      460 Closed,2
      953 Closed,,      953 Closed,2
      228 Closed,,      228 Closed,2
8,408 Closed,8408 Closed,2
      241 Closed,,      241 Closed,2
      310 Closed,,      310 Closed,2
      640 Closed,,      640 Closed,2
1,609 Closed,1609 Closed,2
      133 Closed,,      133 Closed,2
2,758 Closed,2758 Closed,2
7,483 Closed,7483 Closed,2
      76 Closed,,      76 Closed,2
4,454 Closed,4454 Closed,2
      816 Closed,,      816 Closed,2
      18 Closed,,      18 Closed,2
      228 Closed,,      228 Closed,2
8,408 Closed,8408 Closed,2
1,030 Closed,1030 Closed,2
      241 Closed,,      241 Closed,2
      257 Closed,,      257 Closed,2
      746 Closed,,      746 Closed,2
      223 Closed,,      223 Closed,2
      310 Closed,,      310 Closed,2
      640 Closed,,      640 Closed,2
1,609 Closed,1609 Closed,2
      133 Closed,,      133 Closed,2
2,758 Closed,2758 Closed,2
      130 Closed,,      130 Closed,2
      353 Closed,,      353 Closed,2
7,483 Closed,7483 Closed,2
      76 Closed,,      76 Closed,2
4,454 Closed,4454 Closed,2
      816 Closed,,      816 Closed,2
      104 Closed,,      104 Closed,2
1,081 Closed,1081 Closed,2
      4 Closed,,      4 Closed,2
2,896 Closed,2896 Closed,2
      36 Closed,,      36 Closed,2
      16 Closed,,      16 Closed,2
      257 Closed,,      257 Closed,2
      21 Closed,,      21 Closed,2
      156 Closed,,      156 Closed,2
      134 Closed,,      134 Closed,2
      18 Closed,,      18 Closed,2
      658 Closed,,      658 Closed,2
10,809 Closed,10809 Closed,2
      276 Closed,,      276 Closed,2
      3 Closed,,      3 Closed,2
      49 Closed,,      49 Closed,2
      75 Closed,,      75 Closed,2
      77 Closed,,      77 Closed,2
      542 Closed,,      542 Closed,2
      294 Closed,,      294 Closed,2
      427 Closed,,      427 Closed,2
      38 Closed,,      38 Closed,2
3,624 Closed,3624 Closed,2
      112 Closed,,      112 Closed,2
      103 Closed,,      103 Closed,2
      56 Closed,,      56 Closed,2
1,764 Closed,1764 Closed,2
      25 Closed,,      25 Closed,2
      23 Closed,,      23 Closed,2
      623 Closed,,      623 Closed,2
      54 Closed,,      54 Closed,2
      374 Closed,,      374 Closed,2
      2 Closed,,      2 Closed,2
2,713 Closed,2713 Closed,2
1,496 Closed,1496 Closed,2
      103 Closed,,      103 Closed,2
      24 Closed,,      24 Closed,2
      613 Closed,,      613 Closed,2
      113 Closed,,      113 Closed,2
      273 Closed,,      273 Closed,2
10,038 Closed,10038 Closed,2
      21 Closed,,      21 Closed,2
      616 Closed,,      616 Closed,2
      16 Closed,,      16 Closed,2
      58 Closed,,      58 Closed,2
      6 Closed,,      6 Closed,2
      69 Closed,,      69 Closed,2
6,061 Closed,6061 Closed,2
      106 Closed,,      106 Closed,2
      16 Closed,,      16 Closed,2
      43 Closed,,      43 Closed,2
      267 Closed,,      267 Closed,2
      738 Closed,,      738 Closed,2
      78 Closed,,      78 Closed,2
      293 Closed,,      293 Closed,2
      828 Closed,,      828 Closed,2
      63 Closed,,      63 Closed,2
      25 Closed,,      25 Closed,2
      103 Closed,,      103 Closed,2
      87 Closed,,      87 Closed,2
      57 Closed,,      57 Closed,2
      77 Closed,,      77 Closed,2
      106 Closed,,      106 Closed,2
      821 Closed,,      821 Closed,2
      10 Closed,,      10 Closed,2
      34 Closed,,      34 Closed,2
      32 Closed,,      32 Closed,2
      1 Closed,,      1 Closed,2
      113 Closed,,      113 Closed,2
      172 Closed,,      172 Closed,2
      15 Closed,,      15 Closed,2
      25 Closed,,      25 Closed,2
      103 Closed,,      103 Closed,2
      428 Closed,,      428 Closed,2
1,318 Closed,1318 Closed,2
      36 Closed,,      36 Closed,2
      87 Closed,,      87 Closed,2
      411 Closed,,      411 Closed,2
      57 Closed,,      57 Closed,2
      77 Closed,,      77 Closed,2
      106 Closed,,      106 Closed,2
      821 Closed,,      821 Closed,2
      10 Closed,,      10 Closed,2
      34 Closed,,      34 Closed,2
      32 Closed,,      32 Closed,2
      9 Closed,,      9 Closed,2
      120 Closed,,      120 Closed,2
      29 Closed,,      29 Closed,2
      1 Closed,,      1 Closed,2
      113 Closed,,      113 Closed,2
      172 Closed,,      172 Closed,2
      15 Closed,,      15 Closed,2
      24 Closed,,      24 Closed,2
      4 Closed,,      4 Closed,2
      625 Closed,,      625 Closed,2
      420 Closed,,      420 Closed,2
      847 Closed,,      847 Closed,2
      21 Closed,,      21 Closed,2
      245 Closed,,      245 Closed,2
      5 Closed,,      5 Closed,2
1,145 Closed,1145 Closed,2
      63 Closed,,      63 Closed,2
      25 Closed,,      25 Closed,2
      103 Closed,,      103 Closed,2
      428 Closed,,      428 Closed,2
1,318 Closed,1318 Closed,2
      36 Closed,,      36 Closed,2
      87 Closed,,      87 Closed,2
      411 Closed,,      411 Closed,2
      226 Closed,,      226 Closed,2
      108 Closed,,      108 Closed,2
      57 Closed,,      57 Closed,2
      77 Closed,,      77 Closed,2
      106 Closed,,      106 Closed,2
      821 Closed,,      821 Closed,2
      10 Closed,,      10 Closed,2
      34 Closed,,      34 Closed,2
      32 Closed,,      32 Closed,2
      9 Closed,,      9 Closed,2
      120 Closed,,      120 Closed,2
      8 Closed,,      8 Closed,2
      29 Closed,,      29 Closed,2
      1 Closed,,      1 Closed,2
      113 Closed,,      113 Closed,2
      172 Closed,,      172 Closed,2
      15 Closed,,      15 Closed,2
      24 Closed,,      24 Closed,2
      4 Closed,,      4 Closed,2
      625 Closed,,      625 Closed,2
      420 Closed,,      420 Closed,2
      23 Closed,,      23 Closed,2
      847 Closed,,      847 Closed,2
      21 Closed,,      21 Closed,2
      245 Closed,,      245 Closed,2
      5 Closed,,      5 Closed,2
1,145 Closed,1145 Closed,2
1,129 Closed,1129 Closed,2
      13 Closed,,      13 Closed,2
1,922 Closed,1922 Closed,2
      52 Closed,,      52 Closed,2
      23 Closed,,      23 Closed,2
      94 Closed,,      94 Closed,2
      38 Closed,,      38 Closed,2
9,664 Closed,9664 Closed,2
      218 Closed,,      218 Closed,2
      4 Closed,,      4 Closed,2
      40 Closed,,      40 Closed,2
      124 Closed,,      124 Closed,2
      148 Closed,,      148 Closed,2
      10 Closed,,      10 Closed,2
1,192 Closed,1192 Closed,2
