9,close,1,4436,477,0,0,0,0,1,close
11,close,1,4574,5,0,1,0,0,0,close
12,merge,1,4604,2,0,0,1,0,0,merge
13,merge,3,4787,211,5,0,0,0,1,merge
14,merge,3,4787,211,5,0,0,0.5,0.5,merge
16,close,1,4846,82,0,0,1,0,0,close
18,merge,1,4574,145,0,0,0,0,1,merge
19,close,9,5791,318,30,0,0,0.166666667,0.833333333,close
24,merge,2,5828,61,24,1,0,0,0,merge
25,merge,2,5828,61,24,1,0,0,0,merge
27,merge,2,5958,8,0,1,0,0,0,merge
33,merge,1,5997,6,0,0,1,0,0,merge
37,merge,1,6528,20,0,0,1,0,0,improvement
40,merge,4,6536,125,0,1,0,0,0,merge
45,close,3,9979,29,0,0.333333333,0,0,0.666666667,improvement
46,close,3,9979,29,0,0.333333333,0,0,0.666666667,close
62,merge,1,10428,3,0,1,0,0,0,merge
66,close,2,10464,26,14,0,1,0,0,close
67,close,3,10451,29,9,0,0,1,0,close
75,close,1,10916,395,0,0,1,0,0,close
81,close,6,10634,89,0,0.666666667,0,0,0.333333333,close
89,close,1,11389,4,0,0,0,0,1,close
92,close,4,11390,26,6,0,0,0,1,close
94,merge,3,11404,21,5,0,0,0.5,0.5,merge
95,merge,2,11389,20,0,1,0,0,0,merge
96,merge,6,11215,568,44,0,0.4,0,0.6,merge
99,close,2,11338,8,0,0,1,0,0,close
102,merge,7,11474,162,72,0,0.833333333,0,0.166666667,merge
103,merge,1,11340,18,0,0,0,0,1,merge
110,merge,1,11332,2,0,1,0,0,0,merge
111,merge,4,11302,284,0,0.25,0.25,0,0.5,improvement
112,merge,1,11339,16,0,1,0,0,0,merge
115,close,1,11339,16,0,1,0,0,0,close
116,merge,1,11332,6,0,1,0,0,0,merge
121,merge,2,12124,8,2,1,0,0,0,merge
125,close,1,12119,145,0,1,0,0,0,close
129,close,4,10653,2677,0,0,0,0,1,close
133,close,12,18814,398,0,0.5,0.375,0,0.125,close
140,close,5,12162,1868,0,0,0,1,0,improvement
